short_name,long_name,definition,expected_value,syntax,example,occurrence,section,migs_eu,migs_ba,migs_pl,migs_vi,migs_org,me,mimarks_s,mimarks_c,misag,mimag,mibig,pos,preferred_unit
lib_screen,library screening strategy,Specific enrichment or screening methods applied before and/or after creating clone libraries,screening strategy name,{text},"enriched, screened, normalized",1,sequencing,X,X,X,X,X,C,C,-,C,C,X,40,
target_gene,target gene,Targeted gene or locus name for marker gene studies,gene name,{text},"16S rRNA, 18S rRNA, nif, amoA, rpo",1,sequencing,-,-,-,-,-,-,M,M,-,-,-,41,
target_subfragment,target subfragment,Name of subfragment of a gene or locus. Important to e.g. identify special regions on marker genes like V6 on 16S rRNA,gene fragment name,{text},"V6, V9, ITS",1,sequencing,-,-,-,-,-,-,C,C,-,-,-,42,
pcr_primers,pcr primers,"PCR primers that were used to amplify the sequence of the targeted gene, locus or subfragment. This field should contain all the primers used for a single PCR reaction if multiple forward or reverse primers are present in a single PCR reaction. The primer sequence should be reported in uppercase letters",FWD: forward primer sequence;REV:reverse primer sequence,FWD:{dna};REV:{dna},,1,sequencing,-,-,-,-,-,-,C,C,-,-,-,43,
mid,multiplex identifiers,"Molecular barcodes, called Multiplex Identifiers (MIDs), that are used to specifically tag unique samples in a sequencing run. Sequence should be reported in uppercase letters",multiplex identifier sequence,{dna},,1,sequencing,-,-,-,-,-,C,C,-,C,C,-,44,
adapters,adapters,Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters,adapter A and B sequence,"{dna},{dna}",,1,sequencing,C,C,C,C,C,C,C,-,C,C,-,45,
pcr_cond,pcr conditions,Description of reaction conditions and components for PCR in the form of  'initial denaturation:94degC_1.5min; annealing=...',initial denaturation:degrees_minutes;annealing:degrees_minutes;elongation:degrees_minutes;final elongation:degrees_minutes;total cycles,initial denaturation:degrees_minutes;annealing:degrees_minutes;elongation:degrees_minutes;final elongation:degrees_minutes;total cycles,,1,sequencing,-,-,-,-,-,-,C,C,-,-,-,46,
seq_meth,sequencing method,"Sequencing method used; e.g. Sanger, pyrosequencing, ABI-solid",,{text},"Sanger dideoxysequencing, pyrosequencing, polony",1,sequencing,M,M,M,M,M,M,M,M,M,M,M,47,
seq_quality_check,sequence quality check,"Indicate if the sequence has been called by automatic systems (none) or undergone a manual editing procedure (e.g. by inspecting the raw data or chromatograms). Applied only for sequences that are not submitted to SRA,ENA or DRA",none or manually edited,[none|manually edited],,1,sequencing,-,-,-,-,-,-,C,C,-,-,-,48,
chimera_check,chimera check,"A chimeric sequence, or chimera for short, is a sequence comprised of two or more phylogenetically distinct parent sequences. Chimeras are usually PCR artifacts thought to occur when a prematurely terminated amplicon reanneals to a foreign DNA strand and is copied to completion in the following PCR cycles. The point at which the chimeric sequence changes from one parent to the next is called the breakpoint or conversion point ",name and version of software,{text} {text},,1,sequencing,-,-,-,-,-,-,C,C,-,-,-,49,
assembly,assembly,How was the assembly done (e.g. with a text based assembler like phrap or a flowgram assembler); estimated error rate associated with the finished sequences (e.g. error rate of 1 in 1000 bp); and the method of calculation,assembly method; estimated error rate; method of calculation,{text};{text};{text},,1,sequencing,M,M,M,M,M,M,C,-,,,X,51,
tax_id,taxa ID,The phylogenetic marker(s) used to assign an organism name to the SAG or MAG,enumeration,[16S rRNA gene|multi-marker approach|other],,1,sequencing,C,C,C,C,C,-,-,-,M,M,C,50,
assembly_qual,assembly quality,"the assembly quality category (high, med or low) based on sets of criteria outlined for each assembly quality category. Finished: Single, validated, contiguous sequence per replicon without gaps or ambiguities with a consensus error rate equivalent to Q50 or better. High Quality Draft:Multiple fragments where gaps span repetitive regions. Presence of the 23S, 16S and 5S rRNA genes and at least 18 tRNAs. Medium Quality Draft:Many fragments with little to no review of assembly other than reporting of standard assembly statistics. Low Quality Draft:Many fragments with little to no review of assembly other than reporting of standard assembly statistics. Assembly statistics include, but are not limited to total assembly size, number of contigs, contig N50/L50, and maximum contig length. ",enumeration,[high|med|low],,1,sequencing,M,M,X,X,X,C,-,-,M,M,X,51,
assembly_name,assembly name,Name/version of the assembly provided by the submitter that is used in the genome browsers and in the community,name and version of assembly,{text} {text},"HuRef, JCVI_ISG_i3_1.0",1,sequencing,C,C,C,C,C,C,-,-,C,C,X,52,
finishing_strategy,finishing strategy,"Was the genome project intended to produce a complete or draft genome, Coverage, the fold coverage of the sequencing expressed as 2x, 3x, 18x  etc, and how many contigs were produced for the genome",status; coverage; number of contigs,[complete|draft];{integer};{integer},,1,sequencing,X,X,X,X,X,X,-,-,X,X,X,54,
annot_source,annotation source,For cases where annotation was provided by a community jamboree or model organism database rather than by a specific submitter,annotation source description,{text},,1,sequencing,C,C,C,C,C,C,-,-,,,X,54,
assembly_software,assembly software,Tool used for assembly,name and version of software,{text} {text},,m,sequencing,M,M,M,M,M,C,C,-,M,M,X,53,
annot,annotation,"Tool used for annotation, or for cases where annotation was provided by a community jamboree or model organism database rather than by a specific submitter","name of tool or pipeline used, or annotation source description",{text},,1,sequencing,C,C,C,C,C,C,-,-,X,X,X,54,
number_contig,number of contigs,"Total number of contigs in the cleaned/submitted assembly that makes up a given genome, SAG, or MAG",value,{integer},,1,sequencing,M,M,X,X,X,C,-,-,X,X,X,55,
16s_recover,16S recovered,Can a 16S gene be recovered from the submitted SAG or MAG?,boolean,{boolean},,1,sequencing,-,-,-,-,-,-,-,-,X,X,-,56,
16s_recover_software,16S recovery software,Tools used for 16S rRNA gene extraction,name of tool(s),{text},,1,sequencing,-,-,-,-,-,-,-,-,X,X,-,57,
trnas,number of standard tRNAs extracted,The total number of tRNAs identified from the SAG or MAG,value from 0-21,{integer},,1,sequencing,-,-,-,-,-,-,-,-,X,X,-,58,
trna_ext_software,tRNA extraction software,Tools used for tRNA identification,name of tool(s),{text},,1,sequencing,-,-,-,-,-,-,-,-,X,X,-,59,
compl_score,completeness score,"Completeness score is typically based on either the fraction of markers found as compared to a database or the percent of a genome found as compared to a closely related reference genome. High Quality Draft: >90%, Medium Quality Draft: >50%, and Low Quality Draft: < 50% should have the indicated completeness scores",quality;percent completeness,[high|med|low];{percentage},,1,sequencing,X,X,X,X,X,-,-,-,M,M,X,60,
compl_software,completeness software,"Tools used for completion estimate, i.e. checkm, anvi'o, busco",name of tool(s),{text},,1,sequencing,-,-,-,-,-,-,-,-,M,M,-,61,
compl_appr,completeness approach,"The approach used to determine the completeness of a given SAG or MAG, which would typically make use of a set of conserved marker genes or a closely related reference genome",enumeration,[marker gene|reference based|other],,1,sequencing,-,-,-,-,-,-,-,-,X,X,-,62,
contam_score,contamination score ,"The contamination score is based on the fraction of single-copy genes that are observed more than once in a query genome. The following scores are acceptable for; High Quality Draft: < 5%, Medium Quality Draft: < 10%, Low Quality Draft: < 10%. Contamination must be below 5% for a SAG or MAG to be deposited into any of the public databases",value,{float} percentage,,1,sequencing,-,-,-,-,-,-,-,-,M,M,-,63,
contam_screen_input,contamination screening input,The type of sequence data used as input,enumeration,"reads, contigs",,1,sequencing,-,-,-,-,-,-,-,-,X,X,-,64,
contam_screen_param,contamination screening parameters,"Specific parameters used in the decontamination sofware, such as reference database, coverage, and kmers. Combinations of these parameters may also be used, i.e. kmer and coverage, or reference database and kmer",enumeration;value or name,[ref db|kmer|coverage|combination];{text|integer},,1,sequencing,-,-,-,-,-,-,-,-,X,X,-,65,
decontam_software,decontamination software,Tool(s) used in contamination screening,enumeration,[checkm/refinem|anvi'o|prodege|bbtools:decontaminate.sh|acdc|combination],,1,sequencing,-,-,-,-,-,-,-,-,X,X,-,66,
sort_tech,sorting technology,Method used to sort/isolate cells of interest,enumeration,[flow cytometric cell sorting|microfluidics|lazer-tweezing|optical manipulation|micromanipulation|other],,1,sequencing,-,-,-,-,-,-,-,-,M,-,-,67,
single_cell_lysis_appr,single cell lysis approach,Method used to free DNA from interior of the cell(s),enumeration,[chemical|enzymatic|physical|combination],,1,sequencing,-,-,-,-,-,-,-,-,M,-,-,68,
single_cell_lysis_prot,single cell lysis kit protocol,Name of the kit or standard protocol used for cell(s) lysis,"kit, protocol name","kit, protocol name",,1,sequencing,-,-,-,-,-,-,-,-,X,-,-,69,
wga_amp_appr,WGA amplication approach,Method used to amplify genomic DNA in preparation for sequencing,enumeration,[pcr based|mda based],,1,sequencing,-,-,-,-,-,-,-,-,M,-,-,70,
wga_amp_kit,WGA amplification kit,Kit used to amplify genomic DNA in preparation for sequencing,kit name,{text},,1,sequencing,-,-,-,-,-,-,-,-,X,-,-,71,
bin_param,binning parameters,The parameters that have been applied during the extraction of genomes from metagenomic datasets,enumeration,[homology search|kmer|coverage|codon usage|combination],,1,sequencing,-,-,-,-,-,-,-,-,-,M,-,72,
bin_software,binning software,Tool(s) used for the extraction of genomes from metagenomic datasets,enumeration,[metabat|maxbin|concoct|groupm|esom|metawatt|combination|other],,1,sequencing,-,-,-,-,-,-,-,-,-,M,-,73,
reassembly_bin,reassembly post binning,Has an assembly been performed on a genome bin extracted from a metagenomic assembly?,boolean,{boolean},,1,sequencing,-,-,-,-,-,-,-,-,-,X,-,74,
mag_cov_software,MAG coverage software,Tool(s) used to determine the genome coverage if coverage is used as a binning parameter in the extraction of genomes from metagenomic datasets,enumeration,[bwa|bbmap|bowtie|other],,1,sequencing,-,-,-,-,-,-,-,-,-,X,-,75,
url,relevant electronic resources,,URL,{URL},,m,sequencing,C,C,C,C,C,C,C,C,C,C,C,76,
sop,relevant standard operating procedures,"Standard operating procedures used in assembly and/or annotation of genomes, metagenomes or environmental sequences",reference to SOP,{PMID}|{DOI}|{URL},,m,sequencing,C,C,C,C,C,C,C,C,C,C,C,77,
biosynthetic_class,biosynthetic class,Chemical class of the compound whose biosynthesis is encoded by the BGC,text option (multiple),[NRP|polyketide|RiPP|terpene|other],,1,gene cluster,-,-,-,-,-,-,-,-,-,-,M,78,
nr_of_loci,number of genomic loci involved,Number of genomic loci involved in the biosynthetic pathway; used to indicate multiple loci in case of split gene clusters,discrete number,{int},,1,gene cluster,-,-,-,-,-,-,-,-,-,-,M,79,
complete,complete / incomplete gene cluster,"Whether the nucleotide sequence of the gene cluster is complete or partial (i.e., genes are missing)",text option (multiple),[complete/incomplete/unknown],,1,gene cluster,-,-,-,-,-,-,-,-,-,-,M,80,
nucl_acc,nucleotide sequence accession number + location(s),GenBank accession number of nucleotide sequence + location,accession number + discrete numbers of start and end sites,"{acc001::start-end,start-end, ...}",,1,gene cluster,-,-,-,-,-,-,-,-,-,-,M,81,
ribo_marker,sequence/accession of/to 16S rRNA sequence of source strain,16S sequence of the strain of origin,text description,{nucleotide sequence},,1,gene cluster,-,-,-,-,-,-,-,-,-,-,M,82,
gene_names,user-defined gene names,"User-defined gene names as used in publication, defined per locus tag / protein ID",gene names,{locus_tag/protein_ID::gene_name; locus_tag/protein_ID::gene_name; …},,1,gene cluster,-,-,-,-,-,-,-,-,-,-,X,83,
subclusters,functional subclusters,"Identified subclusters encoding the biosynthesis of specific chemical moieties. Whenever possible, chemical moiety naming should follow nomenclature in 'chem_moieties'","enumeration of enumerations, genes denoted by locus_tag or gene ID qualifiers",{[moiety1::gene1;gene2;gene3]; [moiety2::gene4;gene5;gene6]; …},,1,gene cluster,-,-,-,-,-,-,-,-,-,-,X,84,
bios_genes,(putative) biosynthetic genes,Genes (putatively) involved in biosynthetic reactions; use locus_tags or protein IDs matching those in the GenBank entry,enumeration,[gene1; gene2; gene3; ...],,1,gene cluster,-,-,-,-,-,-,-,-,-,-,M,85,
transp_genes,(putative) transport-related genes,Genes encoding membrane proteins that are (putatively) involved in compound transport; use locus_tags or protein IDs matching those in the GenBank entry,enumeration,[gene1; gene2; gene3; ...],,1,gene cluster,-,-,-,-,-,-,-,-,-,-,M,86,
reg_genes,(putative) regulatory genes,"Genes (putatively) involved in gene cluster regulation through binding of DNA or signalling (e.g., two-component systems); use locus_tags or protein IDs matching those in the GenBank entry",enumeration,[gene1; gene2; gene3; ...],,1,gene cluster,-,-,-,-,-,-,-,-,-,-,M,87,
resist_genes,(putative) immunity / resistance genes,Genes (putatively) involved in self-resistance against own bioactivity; use locus_tags or protein IDs matching those in the GenBank entry,enumeration,[gene1; gene2; gene3; ...],,1,gene cluster,-,-,-,-,-,-,-,-,-,-,M,88,
operon_arch,operon architecture of the gene cluster,Operons of which the gene cluster consists; genes denoted by locus tag or protein ID,"enumeration of enumerations, genes denoted by locus_tag or gene ID qualifiers","{[gene1;gene2;gene3],[gene4],[gene5;gene6;gene7;…}",,1,gene cluster,-,-,-,-,-,-,-,-,-,-,X,89,
mut_pheno,knockout mutant phenotypes,Observed phenotypes of any gene knockout mutants made; no values given if no knockout mutant was made,enumeration,"{gene1::""phenotype of gene 1""; gene2::""phenotype of gene 2""; …}",,1,gene cluster,-,-,-,-,-,-,-,-,-,-,X,90,
chem_name,compound name(s),"Name(s) of compound(s) produced by the gene cluster, in same order as chemical structures denoted for chem_struct",enumeration,[compound name 1; compound name 2; …],,1,gene cluster,-,-,-,-,-,-,-,-,-,-,M,91,
chem_synonyms,synonyms for compound name(s),Synonyms for the compound name(s),enumeration,{compound name 1::[synonym1; synonym2; synonym3;] …},,1,compound,-,-,-,-,-,-,-,-,-,-,X,92,
mol_mass,exact molecular mass(es),Exact molecular mass(es) of the molecule(s),floating number for each molecule,[compound_name_1::float; compound_name_2::float; ...],,1,compound,-,-,-,-,-,-,-,-,-,-,M,93,
molecular_formulae,molecular formula(e) of the compound(s),Molecular formula of each compound produced by the gene cluster,molecular formula(e),{compound1::molecular_formula1; compound 2::molecular_formula2; …},,1,compound,-,-,-,-,-,-,-,-,-,-,M,94,
chem_struct,compound structure(s),Chemical structure(s) of compound(s) produced by the gene cluster,enumeration of isomeric SMILES strings,[SMILE1; SMILE2; …],,1,compound,-,-,-,-,-,-,-,-,-,-,M,95,
chem_moieties,chemical moieties,"Distinct chemical moieties in compound(s), described as in 'chem_moieties'",enumeration,[moiety1; moiety2; moiety3; …],,1,compound,-,-,-,-,-,-,-,-,-,-,X,96,
chem_act,compound activity,Type of bioactivity observed for compound,text option (multiple),[antibiotic|cytotoxic|siderophore|inhibitor|surfactant|signalling|antioxidant|pigment|structural|none|other],,1,compound,-,-,-,-,-,-,-,-,-,-,X,97,
chem_target,compound molecular target,"Molecular target of the compound. Examples: RNA polymerase, ribosome, lipid A",text description,{text},,1,compound,-,-,-,-,-,-,-,-,-,-,X,98,
publications,(earlier) publications on biosynthesis/chemistry/activity/target,Publications describing the experiments to determine compound activity/toxicity/target,enumeration,[PMID1; PMID2; PMID3; …],,1,compound,-,-,-,-,-,-,-,-,-,-,X,99,
tailoring_reactions,"number and types of tailoring reactions performed on core scaffold, and the enzymes involved","For each tailoring reaction, specify the type (from a multiple-choice list, the enzymes involved, and the evidence for this involvement)",,{[oxidation|reduction|methylation|glycosylation|amination|halogenation|sulfation|prenylation|acylation|acetylation|phosphorylation|hydroxylation|dehydration|deoxygenation|epimerization|other]:[gene1]; [oxidation|reduction|methylation|glycosylation|amination|halogenation|sulfation|prenylation|acylation|acetylation|phosphorylation|hydroxylation|dehydration|deoxygenation|epimerization|other]:[gene2]; ...},,1,compound / gene cluster,-,-,-,-,-,-,-,-,-,-,M,100,
conn_comp_cluster,evidence for compound-cluster connection,Evidence that the gene cluster encodes the biosynthesis of the specified compound(s),text option (multiple),[knock-out|transcriptomic analysis|prediction|other],,1,compound / gene cluster,-,-,-,-,-,-,-,-,-,-,M,101,
